quote,author,author_id,tags
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,/author/Albert-Einstein,"change,deep-thoughts,thinking,world,abilities,choices,inspirational,life,live,miracle,miracles,aliteracy,books,classic,humor,be-yourself,inspirational,adulthood,success,value,life,love,edison,failure,inspirational,paraphrased,misattributed-eleanor-roosevelt,humor,obvious,simile,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,/author/J-K-Rowling,"change,deep-thoughts,thinking,world,abilities,choices,inspirational,life,live,miracle,miracles,aliteracy,books,classic,humor,be-yourself,inspirational,adulthood,success,value,life,love,edison,failure,inspirational,paraphrased,misattributed-eleanor-roosevelt,humor,obvious,simile,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,/author/Albert-Einstein,"change,deep-thoughts,thinking,world,abilities,choices,inspirational,life,live,miracle,miracles,aliteracy,books,classic,humor,be-yourself,inspirational,adulthood,success,value,life,love,edison,failure,inspirational,paraphrased,misattributed-eleanor-roosevelt,humor,obvious,simile,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,/author/Jane-Austen,"change,deep-thoughts,thinking,world,abilities,choices,inspirational,life,live,miracle,miracles,aliteracy,books,classic,humor,be-yourself,inspirational,adulthood,success,value,life,love,edison,failure,inspirational,paraphrased,misattributed-eleanor-roosevelt,humor,obvious,simile,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,/author/Marilyn-Monroe,"change,deep-thoughts,thinking,world,abilities,choices,inspirational,life,live,miracle,miracles,aliteracy,books,classic,humor,be-yourself,inspirational,adulthood,success,value,life,love,edison,failure,inspirational,paraphrased,misattributed-eleanor-roosevelt,humor,obvious,simile,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
Try not to become a man of success. Rather become a man of value.,Albert Einstein,/author/Albert-Einstein,"change,deep-thoughts,thinking,world,abilities,choices,inspirational,life,live,miracle,miracles,aliteracy,books,classic,humor,be-yourself,inspirational,adulthood,success,value,life,love,edison,failure,inspirational,paraphrased,misattributed-eleanor-roosevelt,humor,obvious,simile,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
It is better to be hated for what you are than to be loved for what you are not.,André Gide,/author/Andre-Gide,"change,deep-thoughts,thinking,world,abilities,choices,inspirational,life,live,miracle,miracles,aliteracy,books,classic,humor,be-yourself,inspirational,adulthood,success,value,life,love,edison,failure,inspirational,paraphrased,misattributed-eleanor-roosevelt,humor,obvious,simile,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,/author/Thomas-A-Edison,"change,deep-thoughts,thinking,world,abilities,choices,inspirational,life,live,miracle,miracles,aliteracy,books,classic,humor,be-yourself,inspirational,adulthood,success,value,life,love,edison,failure,inspirational,paraphrased,misattributed-eleanor-roosevelt,humor,obvious,simile,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,/author/Eleanor-Roosevelt,"change,deep-thoughts,thinking,world,abilities,choices,inspirational,life,live,miracle,miracles,aliteracy,books,classic,humor,be-yourself,inspirational,adulthood,success,value,life,love,edison,failure,inspirational,paraphrased,misattributed-eleanor-roosevelt,humor,obvious,simile,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
"A day without sunshine is like, you know, night.",Steve Martin,/author/Steve-Martin,"change,deep-thoughts,thinking,world,abilities,choices,inspirational,life,live,miracle,miracles,aliteracy,books,classic,humor,be-yourself,inspirational,adulthood,success,value,life,love,edison,failure,inspirational,paraphrased,misattributed-eleanor-roosevelt,humor,obvious,simile,love,inspirational,life,humor,books,reading,friendship,friends,truth,simile"
